car_brand,car_name,year,km_driven,fuel,transmission,price,city
Hyundai,Hyundai VenueS Plus 2024-2025,2021,"41,103kms",Petrol,Manual,₹6.33 Lakh,chandigarh
BMW,BMW i7xDrive60 M Sport,2024,"8,066kms",Electric,Automatic,₹1.36 Crore,chandigarh
Maruti,Maruti Alto K10VXI,2015,"78,000kms",Petrol,Manual,₹2.68 Lakh,chandigarh
Ford,Ford Ecosport1.5 TDCi Ambiente BSIV,2015,"72,026kms",Diesel,Manual,₹3.30 Lakh,chandigarh
Tata,Tata NexonXZ Plus (O) Diesel,2022,"31,584kms",Diesel,Manual,₹8.59 Lakh,chandigarh
BMW,BMW 7 Series740Li M Sport,2022,"16,000kms",Petrol,Automatic,₹77 Lakh,chandigarh
Maruti,Maruti Alto K10VXI,2015,"28,704kms",Petrol,Manual,₹2.79 Lakh,chandigarh
Maruti,Maruti SwiftVDI BSIV,2016,"89,000kms",Diesel,Manual,₹4.85 Lakh,chandigarh
Hyundai,Hyundai AlcazarPlatinum 6Str Diesel AT,2021,"1,02,513kms",Diesel,Automatic,₹12.94 Lakh,chandigarh
BMW,BMW 3 Series Long Wheelbase330Li M Sport First Edition,2022,"48,000kms",Petrol,Automatic,₹38.75 Lakh,chandigarh
Tata,Tata NexonXZA Plus (O) AMT Diesel,2020,"98,255kms",Diesel,Automatic,₹7.39 Lakh,chandigarh
Hyundai,Hyundai Grand i10 NiosSportz CNG,2022,"46,156kms",CNG,Manual,₹5.36 Lakh,chandigarh
MG,MG Hector1.5 Turbo Sharp pro BSVI,2023,"37,794kms",Petrol,Manual,₹16.42 Lakh,chandigarh
Audi,Audi Q740 TFSI Quattro Technology,2019,"59,000kms",Petrol,Automatic,₹35.75 Lakh,chandigarh
Maruti,Maruti Vitara BrezzaVDi Option,2018,"47,835kms",Diesel,Manual,₹6.02 Lakh,chandigarh
Kia,Kia SonetHTX Turbo iMT,2023,"16,882kms",Petrol,Manual,₹8.79 Lakh,chandigarh
Hyundai,Hyundai Creta1.6 SX,2020,"66,194kms",Petrol,Manual,₹9.56 Lakh,chandigarh
Mercedes-Benz,2021Mercedes-Benz AMG G 634MATIC  -2023,2018,"45,000kms",Petrol,Automatic,₹2.58 Crore,chandigarh
Kia,Kia SeltosHTX,2020,"53,838kms",Petrol,Manual,₹7.21 Lakh,chandigarh
Toyota,Toyota GlanzaV AMT BSVI,2023,"28,020kms",Petrol,Automatic,₹7.51 Lakh,chandigarh
Hyundai,Hyundai VenueSX BSVI,2023,"36,833kms",Petrol,Manual,₹7.99 Lakh,chandigarh
Land Rover,Land Rover Range Rover VelarDynamic HSE,2024,"13,000kms",Petrol,Automatic,₹75.75 Lakh,chandigarh
Mahindra,Mahindra XUV500W9 AT,2017,"77,978kms",Diesel,Automatic,₹8.14 Lakh,chandigarh
Maruti,Maruti BrezzaVxi CNG,2023,"51,000kms",CNG,Manual,₹9.65 Lakh,chandigarh
Hyundai,Hyundai Verna1.6 CRDi SX,2017,"90,000kms",Diesel,Manual,₹6.90 Lakh,chandigarh
Land Rover,Land Rover Range Rover VelarDynamic HSE,2024,"13,000kms",Petrol,Automatic,₹75.75 Lakh,chandigarh
Hyundai,Hyundai VernaSX Opt Turbo,2021,"25,969kms",Petrol,Automatic,₹11.14 Lakh,chandigarh
Skoda,Skoda Slavia1.0 TSI Ambition,2023,"27,140kms",Petrol,Manual,₹10.97 Lakh,chandigarh
Skoda,Skoda Kushaq1.5 TSI Ambition,2022,"26,885kms",Petrol,Manual,₹10.25 Lakh,chandigarh
Skoda,Skoda Kushaq1.5 TSI Ambition,2023,"21,909kms",Petrol,Manual,₹10.09 Lakh,chandigarh
Kia,Kia SeltosHTX Diesel AT,2024,"26,897kms",Diesel,Automatic,₹10.93 Lakh,chandigarh
Kia,Kia SeltosGTX Plus,2019,"70,330kms",Petrol,Manual,₹10.07 Lakh,chandigarh
Hyundai,Hyundai VernaSX Turbo,2023,"35,000kms",Petrol,Manual,₹13 Lakh,chandigarh
Hyundai,Hyundai EONSportz,2015,"25,621kms",Petrol,Manual,₹2.43 Lakh,chandigarh
Volkswagen,Volkswagen VentoIPL II Petrol Highline AT,2011,"79,500kms",Petrol,Automatic,₹2.78 Lakh,chandigarh
Hyundai,Hyundai i20Asta 1.2,2015,"58,157kms",Petrol,Manual,₹4.70 Lakh,chandigarh
Honda,Honda BrioVX,2015,"1,02,673kms",Petrol,Manual,₹3.13 Lakh,chandigarh
Hyundai,Hyundai i201.2 Asta,2018,"37,109kms",Petrol,Manual,₹5.58 Lakh,chandigarh
Maruti,Maruti Wagon RVXI 1.2,2021,"31,366kms",Petrol,Manual,₹4.37 Lakh,chandigarh
Maruti,Maruti Baleno1.2 Delta,2017,"44,886kms",Petrol,Manual,₹4.79 Lakh,chandigarh
Maruti,Maruti Baleno1.2 Delta,2017,"44,886kms",Petrol,Manual,₹4.79 Lakh,chandigarh
Ford,Ford FigoTrend,2018,"76,609kms",Petrol,Manual,₹3.64 Lakh,chandigarh
Ford,Ford EcosportTitanium Plus AT,2018,"84,231kms",Petrol,Automatic,₹5.69 Lakh,chandigarh
Honda,Honda AmazeVX CVT Petrol,2019,"56,811kms",Petrol,Automatic,₹5.28 Lakh,chandigarh
Tata,Tata TiagoXT CNG,2022,"38,931kms",CNG,Manual,₹5.17 Lakh,chandigarh
Maruti,Maruti Wagon RVXI 1.2,2021,"31,366kms",Petrol,Manual,₹4.37 Lakh,chandigarh
Hyundai,Hyundai i20Asta 1.2,2015,"58,157kms",Petrol,Manual,₹4.70 Lakh,chandigarh
Honda,Honda BrioVX,2015,"1,02,673kms",Petrol,Manual,₹3.13 Lakh,chandigarh
Hyundai,Hyundai i201.2 Asta,2018,"37,109kms",Petrol,Manual,₹5.58 Lakh,chandigarh
Skoda,Skoda Kodiaq2.0 TDI Style,2018,"77,484kms",Diesel,Automatic,₹16.66 Lakh,chandigarh
Jeep,Jeep Compass1.4 Limited,2018,"55,190kms",Petrol,Automatic,₹7.30 Lakh,chandigarh
Maruti,Maruti Alto 800LXI CNG,2014,"57,453kms",CNG,Manual,₹2.27 Lakh,chandigarh
Tata,Tata NexonXZ Plus,2021,"1,15,643kms",Petrol,Manual,₹6.32 Lakh,chandigarh
Maruti,Maruti Vitara BrezzaZXI Plus Dual Tone,2019,"1,25,069kms",Petrol,Manual,₹6.49 Lakh,chandigarh
Jeep,Jeep Compass2.0 Longitude BSIV,2017,"57,000kms",Diesel,Manual,₹7.35 Lakh,chandigarh
Chevrolet,Chevrolet TrailblazerLTZ 4X2 AT,2015,"58,000kms",Diesel,Automatic,₹9.65 Lakh,chandigarh
MG,MG Hector2.0 Sharp Pro Diesel BSVI,2022,"50,325kms",Diesel,Manual,₹14.25 Lakh,chandigarh
Maruti,Maruti FRONXAlpha Turbo AT,2023,"4,928kms",Petrol,Automatic,₹10.41 Lakh,chandigarh
Hyundai,Hyundai AlcazarPlatinum AE 7Str Diesel,2022,"21,103kms",Diesel,Manual,₹14.47 Lakh,chandigarh
MG,MG Hector2.0 Sharp Pro Diesel BSVI,2022,"72,353kms",Diesel,Manual,₹13.31 Lakh,chandigarh
Maruti,Maruti FRONXAlpha Turbo AT,2023,"8,112kms",Petrol,Automatic,₹10.48 Lakh,chandigarh
Hyundai,Hyundai AlcazarPlatinum AE 7Str Diesel,2022,"57,140kms",Diesel,Manual,₹14.25 Lakh,chandigarh
Hyundai,Hyundai AlcazarSignature 6Str Diesel AT,2021,"66,307kms",Diesel,Automatic,₹13.45 Lakh,chandigarh
Mahindra,Mahindra XUV500W11 FWD Diesel,2018,"79,000kms",Diesel,Manual,₹10.85 Lakh,chandigarh
Kia,Kia SeltosHTK Plus AT D,2021,"82,000kms",Diesel,Automatic,₹10.15 Lakh,chandigarh
Maruti,Maruti FRONXAlpha Turbo AT,2023,"8,112kms",Petrol,Automatic,₹10.48 Lakh,chandigarh
Hyundai,Hyundai AlcazarPlatinum AE 7Str Diesel,2022,"57,140kms",Diesel,Manual,₹14.25 Lakh,chandigarh
Hyundai,Hyundai AlcazarSignature 6Str Diesel AT,2021,"66,307kms",Diesel,Automatic,₹13.45 Lakh,chandigarh
Mahindra,Mahindra XUV500W11 FWD Diesel,2018,"79,000kms",Diesel,Manual,₹10.85 Lakh,chandigarh
Kia,Kia SeltosHTK Plus AT D,2021,"82,000kms",Diesel,Automatic,₹10.15 Lakh,chandigarh
Hyundai,Hyundai CretaS plus Knight Diesel,2023,"55,000kms",Diesel,Manual,₹13.50 Lakh,chandigarh
Ford,Ford Ecosport1.5 Ti VCT AT Titanium,2014,"46,936kms",Petrol,Automatic,₹3.87 Lakh,chandigarh
Honda,Honda CitySV MT,2014,"98,248kms",Petrol,Manual,₹3.69 Lakh,chandigarh
Hyundai,Hyundai SantroSportz Executive CNG,2022,"74,623kms",CNG,Manual,₹4.09 Lakh,chandigarh
Maruti,Maruti Vitara BrezzaZXI Plus Dual Tone,2016,"78,337kms",Petrol,Manual,₹5.75 Lakh,chandigarh
Tata,Tata TigorXZ Plus CNG BSVI,2022,"1,21,613kms",CNG,Manual,₹5.25 Lakh,chandigarh
Maruti,Maruti SwiftZXI BSVI,2021,"75,000kms",Petrol,Manual,₹5.95 Lakh,chandigarh
Renault,Renault TriberRXT,2022,"20,368kms",Petrol,Manual,₹5.08 Lakh,chandigarh
Skoda,Skoda Slavia1.0 TSI Style,2023,"52,685kms",Petrol,Manual,₹11.21 Lakh,chandigarh
Ford,Ford EcosportTitanium Plus AT,2021,"36,458kms",Petrol,Automatic,₹8.38 Lakh,chandigarh
Honda,Honda ElevateVX Non RF,2023,"16,469kms",Petrol,Manual,₹11.56 Lakh,chandigarh
Skoda,Skoda Slavia1.0 TSI Ambition,2023,"65,755kms",Petrol,Manual,₹9.65 Lakh,chandigarh
Volkswagen,Volkswagen Vento1.0 TSI Highline Plus AT,2021,"57,018kms",Petrol,Automatic,₹8.29 Lakh,chandigarh
Ford,Ford FiestaPetrol Style,2021,"66,648kms",Petrol,Manual,₹7.53 Lakh,chandigarh
Volkswagen,Volkswagen Vento1.0 TSI Highline Plus AT,2022,"92,413kms",Petrol,Automatic,₹7.95 Lakh,chandigarh
Volkswagen,Volkswagen Vento1.0 TSI Highline Plus AT,2022,"92,413kms",Petrol,Automatic,₹7.95 Lakh,chandigarh
Mercedes-Benz,Mercedes-Benz C-ClassProgressive C 220d,2020,"48,000kms",Diesel,Automatic,₹29.50 Lakh,chandigarh
Skoda,Skoda Slavia1.0 TSI Style AT BSVI,2022,"81,397kms",Petrol,Automatic,₹11.09 Lakh,chandigarh
Honda,Honda ElevateVX Non RF,2023,"16,469kms",Petrol,Manual,₹11.56 Lakh,chandigarh
Skoda,Skoda Slavia1.0 TSI Ambition,2023,"65,755kms",Petrol,Manual,₹9.65 Lakh,chandigarh
Volkswagen,Volkswagen Taigun1.0 Topline,2021,"1,22,587kms",Petrol,Manual,₹9.97 Lakh,chandigarh
Skoda,Skoda Slavia1.5 TSI Ambition,2022,"58,763kms",Petrol,Manual,₹8.70 Lakh,chandigarh
Kia,Kia SeltosHTX,2023,"43,055kms",Petrol,Manual,₹10.64 Lakh,chandigarh
Maruti,Maruti ErtigaZXI AT,2022,"34,935kms",Petrol,Automatic,₹9.65 Lakh,chandigarh
Renault,Renault TriberRXT,2022,"20,368kms",Petrol,Manual,₹5.08 Lakh,chandigarh
Skoda,Skoda Slavia1.0 TSI Style,2023,"52,685kms",Petrol,Manual,₹11.21 Lakh,chandigarh
Ford,Ford EcosportTitanium Plus AT,2021,"36,458kms",Petrol,Automatic,₹8.38 Lakh,chandigarh
Ford,Ford FiestaPetrol Style,2021,"66,648kms",Petrol,Manual,₹7.53 Lakh,chandigarh
Volkswagen,Volkswagen Vento1.0 TSI Highline Plus AT,2021,"57,018kms",Petrol,Automatic,₹8.29 Lakh,chandigarh
Honda,Honda CityVX CVT,2017,"86,682kms",Petrol,Automatic,₹6.18 Lakh,chandigarh
Datsun,Datsun RediGOT Option,2019,"67,967kms",Petrol,Manual,₹2.41 Lakh,chandigarh
Mahindra,Mahindra XUV700AX7 Diesel AT Luxury Pack BSVI,2022,"1,15,042kms",Diesel,Automatic,₹16.75 Lakh,chandigarh
Maruti,Maruti Alto K10VXI,2015,"59,712kms",Petrol,Manual,₹2.36 Lakh,chandigarh
Isuzu,Isuzu MU 74x2 HIPACK,2015,"90,000kms",Diesel,Manual,₹6.35 Lakh,chandigarh
Hyundai,Hyundai i10Asta,2012,"85,000kms",Petrol,Manual,₹2.35 Lakh,chandigarh
Datsun,Datsun RediGOT Option,2019,"67,967kms",Petrol,Manual,₹2.41 Lakh,chandigarh
Mahindra,Mahindra XUV700AX7 Diesel AT Luxury Pack BSVI,2022,"1,15,042kms",Diesel,Automatic,₹16.75 Lakh,chandigarh
Maruti,Maruti Alto K10VXI,2015,"59,712kms",Petrol,Manual,₹2.36 Lakh,chandigarh
Hyundai,Hyundai i10Asta,2012,"85,000kms",Petrol,Manual,₹2.35 Lakh,chandigarh
Isuzu,Isuzu MU 74x2 HIPACK,2015,"90,000kms",Diesel,Manual,₹6.35 Lakh,chandigarh
