car_brand,car_name,year,km_driven,fuel,transmission,price,city
Renault,Renault KWID1.0 RXT Opt,2019,"51,231kms",Petrol,Manual,₹2.89 Lakh,ahmedabad
Maruti,Maruti Alto 800CNG LXI,2014,"70,000kms",CNG,Manual,₹1.70 Lakh,ahmedabad
Maruti,Maruti Alto 800LXi,2017,"58,925kms",Petrol,Manual,₹2.55 Lakh,ahmedabad
Maruti,Maruti Alto 800LXi,2016,"47,238kms",Petrol,Manual,₹2.34 Lakh,ahmedabad
Hyundai,Hyundai i10Magna 1.1,2013,"76,520kms",Petrol,Manual,₹2.69 Lakh,ahmedabad
Maruti,Maruti CiazZeta BSIV,2018,"66,000kms",Petrol,Manual,₹5 Lakh,ahmedabad
Renault,Renault KWIDRXT,2017,"74,142kms",Petrol,Manual,₹2.42 Lakh,ahmedabad
Renault,Renault KWID1.0 RXT Opt,2020,"55,336kms",Petrol,Manual,₹2.72 Lakh,ahmedabad
Renault,Renault KWID1.0 RXT Opt,2019,"51,231kms",Petrol,Manual,₹2.89 Lakh,ahmedabad
Hyundai,Hyundai Creta1.6 VTVT AT SX Plus,2016,"60,000kms",Petrol,Automatic,₹7.45 Lakh,ahmedabad
Maruti,Maruti Alto 800LXi,2016,"47,238kms",Petrol,Manual,₹2.34 Lakh,ahmedabad
Hyundai,Hyundai i10Magna 1.1,2013,"76,520kms",Petrol,Manual,₹2.69 Lakh,ahmedabad
Honda,Honda BrioV MT,2012,"95,376kms",Petrol,Manual,₹1.84 Lakh,ahmedabad
Hyundai,Hyundai i10Magna 1.1,2013,"36,870kms",Petrol,Manual,₹2.43 Lakh,ahmedabad
Hyundai,Hyundai i20Sportz Petrol,2012,"48,311kms",Petrol,Manual,₹2.54 Lakh,ahmedabad
Hyundai,Hyundai Grand i10Magna,2014,"90,776kms",Petrol,Manual,₹2.50 Lakh,ahmedabad
Honda,Honda AmazeS i-Vtech,2014,"78,637kms",Petrol,Manual,₹2.75 Lakh,ahmedabad
Hyundai,Hyundai i10Sportz,2012,"1,26,549kms",Petrol,Manual,₹1.38 Lakh,ahmedabad
Renault,Renault KWIDRXL,2021,"35,342kms",Petrol,Manual,₹2.37 Lakh,ahmedabad
Honda,Honda AmazeS i-Vtech,2014,"1,28,271kms",Petrol,Manual,₹2.29 Lakh,ahmedabad
Tata,Tata Tiago1.2 Revotron XM Option,2018,"83,861kms",Petrol,Manual,₹2.77 Lakh,ahmedabad
Maruti,Maruti Alto 800LXi,2016,"1,23,885kms",Petrol,Manual,₹2.13 Lakh,ahmedabad
Hyundai,Hyundai i10Magna 1.1L,2015,"61,002kms",Petrol,Manual,₹2.17 Lakh,ahmedabad
Honda,Honda AmazeEX i-Vtech,2015,"58,000kms",Petrol,Manual,₹2.75 Lakh,ahmedabad
Maruti,Maruti EsteemVxi,2005,"1,28,000kms",Petrol,Manual,₹1.51 Lakh,ahmedabad
Honda,Honda AmazeS i-Vtech,2014,"1,28,271kms",Petrol,Manual,₹2.29 Lakh,ahmedabad
Honda,Honda AmazeS i-VTEC,2016,"54,000kms",Petrol,Manual,₹3 Lakh,ahmedabad
Honda,Honda AmazeEX i-Vtech,2015,"58,000kms",Petrol,Manual,₹2.75 Lakh,ahmedabad
Maruti,Maruti EsteemVxi,2005,"1,28,000kms",Petrol,Manual,₹1.51 Lakh,ahmedabad
Volkswagen,Volkswagen PoloPetrol Highline 1.2L,2011,"72,000kms",Petrol,Manual,₹2 Lakh,ahmedabad
Renault,Renault KWID1.0 RXL,2017,"65,000kms",Petrol,Manual,₹2.35 Lakh,ahmedabad
