car_brand,car_name,year,km_driven,fuel,transmission,price,city
Hyundai,Hyundai CretaSX Opt Turbo Dualtone BSVI,2020,"65,875kms",Petrol,Automatic,₹11.56 Lakh,mumbai
Hyundai,Hyundai VenueSX Turbo iMT,2020,"55,000kms",Petrol,Manual,₹7.20 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz E-ClassE 200 CGI,2015,"55,700kms",Petrol,Automatic,₹11.80 Lakh,mumbai
Jeep,Jeep Compass1.4 Limited,2017,"53,303kms",Petrol,Automatic,₹8.25 Lakh,mumbai
Audi,Audi Q330 TDI S Edition,2015,"46,000kms",Diesel,Manual,₹16.95 Lakh,mumbai
Skoda,Skoda KodiaqL & K,2023,"17,433kms",Petrol,Automatic,₹37.50 Lakh,mumbai
Maruti,Maruti Ciaz1.4 AT Zeta,2018,"33,000kms",Petrol,Automatic,₹6.25 Lakh,mumbai
Honda,Honda CityV CVT,2019,"43,670kms",Petrol,Automatic,₹6.85 Lakh,mumbai
Honda,Honda Cityi-VTEC CVT ZX,2017,"55,000kms",Petrol,Automatic,₹6.49 Lakh,mumbai
Kia,Kia SeltosGTX Plus DCT,2021,"50,000kms",Petrol,Automatic,₹12 Lakh,mumbai
Audi,Audi Q330 TFSI Premium FWD,2018,"71,800kms",Petrol,Automatic,₹15.50 Lakh,mumbai
Maruti,Maruti Swift DzireAMT ZXI,2018,"30,696kms",Petrol,Automatic,₹5.01 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz E-ClassE350 Edition E,2016,"61,900kms",Diesel,Automatic,₹16.50 Lakh,mumbai
Toyota,Toyota Innova2.5 G (Diesel) 7 Seater BS IV,2015,"1,50,000kms",Diesel,Manual,₹7 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz C-ClassC 200 Avantgarde Edition C,2017,"56,300kms",Petrol,Automatic,₹17.50 Lakh,mumbai
Honda,Honda CityVX MT,2022,"24,827kms",Petrol,Manual,₹10.92 Lakh,mumbai
Kia,Kia SonetGTX Plus Turbo iMT BSVI,2023,"12,768kms",Petrol,Manual,₹10.50 Lakh,mumbai
Hyundai,Hyundai VenueS BSIV,2020,"51,000kms",Petrol,Manual,₹6.40 Lakh,mumbai
Kia,Kia CarnivalLimousine,2022,"53,000kms",Diesel,Automatic,₹33.25 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz GLC220d 4MATIC,2021,"14,500kms",Diesel,Automatic,₹42.95 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz E-ClassExpression E 220d,2021,"48,000kms",Diesel,Automatic,₹50 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz GLA Class200 Sport,2018,"43,999kms",Petrol,Automatic,₹17.75 Lakh,mumbai
Kia,Kia SeltosHTE Diesel,2021,"86,180kms",Diesel,Manual,₹10.75 Lakh,mumbai
Audi,Audi Q2Technology,2021,"34,000kms",Petrol,Automatic,₹22.75 Lakh,mumbai
Hyundai,Hyundai Creta1.6 SX,2018,"67,000kms",Petrol,Manual,₹8.45 Lakh,mumbai
Mahindra,Mahindra XUV300W6 Diesel Sunroof NT BSVI,2023,"29,000kms",Diesel,Manual,₹9 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz C-ClassC 220 CDI Avantgarde,2017,"61,000kms",Diesel,Automatic,₹18.99 Lakh,mumbai
Audi,Audi A335 TFSI Premium Plus,2019,"62,000kms",Petrol,Automatic,₹15.75 Lakh,mumbai
Honda,Honda CityZX CVT,2020,"46,000kms",Petrol,Automatic,₹9.75 Lakh,mumbai
Hyundai,Hyundai VenueS BSIV,2020,"51,000kms",Petrol,Manual,₹6.40 Lakh,mumbai
Hyundai,Hyundai VenueSX Opt Diesel BSIV,2019,"47,500kms",Diesel,Manual,₹8.95 Lakh,mumbai
Hyundai,Hyundai CretaSX Opt IVT BSVI,2022,"76,230kms",Petrol,Automatic,₹11.87 Lakh,mumbai
Maruti,Maruti CiazAlpha Automatic BSIV,2019,"19,000kms",Petrol,Automatic,₹6.75 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz GLA Class200 Sport,2018,"43,999kms",Petrol,Automatic,₹17.75 Lakh,mumbai
Kia,Kia SeltosHTK G,2021,"53,100kms",Petrol,Manual,₹9.35 Lakh,mumbai
Maruti,Maruti Swift DzireAMT ZDI Plus,2017,"60,000kms",Diesel,Automatic,₹6.75 Lakh,mumbai
Hyundai,Hyundai Creta1.6 VTVT AT SX Plus,2017,"58,000kms",Petrol,Automatic,₹8.75 Lakh,mumbai
Maruti,Maruti BalenoAlpha BSVI,2022,"18,556kms",Petrol,Manual,₹8.50 Lakh,mumbai
Honda,Honda CityZX CVT,2020,"36,000kms",Petrol,Automatic,₹8.75 Lakh,mumbai
Honda,Honda CityZX CVT,2018,"38,764kms",Petrol,Automatic,₹6.82 Lakh,mumbai
Honda,Honda Cityi-VTEC CVT ZX,2019,"1,10,700kms",Petrol,Automatic,₹6.33 Lakh,mumbai
Mahindra,Mahindra XUV700AX5 BSVI,2022,"13,000kms",Petrol,Manual,₹14 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz C-ClassAMG Line C 300d,2020,"49,632kms",Diesel,Automatic,₹33.23 Lakh,mumbai
Kia,Kia CarnivalLimousine Plus,2023,"39,000kms",Diesel,Automatic,₹35 Lakh,mumbai
Jaguar,Jaguar F-PacePrestige 2.0 AWD,2019,"65,000kms",Diesel,Automatic,₹31.49 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz E-ClassExclusive E 220d BSVI,2022,"55,000kms",Diesel,Automatic,₹49.85 Lakh,mumbai
Mini Cooper,Mini Cooper ClubmanCooper S,2018,"10,000kms",Petrol,Automatic,₹31.90 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz E-ClassExclusive E 220d,2021,"70,000kms",Diesel,Automatic,₹49.90 Lakh,mumbai
Kia,Kia CarnivalLimousine Plus,2023,"37,000kms",Diesel,Automatic,₹37.50 Lakh,mumbai
Jaguar,Jaguar XEPrestige,2017,"54,280kms",Petrol,Automatic,₹16.90 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz E-ClassExclusive E 200 BSVI,2022,"20,000kms",Petrol,Automatic,₹53.75 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz E-ClassExclusive E 220d BSVI,2022,"34,000kms",Diesel,Automatic,₹56 Lakh,mumbai
Skoda,Skoda KodiaqSportline,2023,"33,000kms",Petrol,Automatic,₹31.45 Lakh,mumbai
Tata,Tata SafariXZA AT BSVI,2021,"90,000kms",Diesel,Automatic,₹13.50 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz S-ClassS 350 d,2019,"39,000kms",Diesel,Automatic,₹70 Lakh,mumbai
Honda,Honda CityZX MT,2022,"31,670kms",Petrol,Manual,₹11.93 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz C-ClassC 220 CDI Edition C AT,2015,"47,000kms",Diesel,Automatic,₹17.75 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz GLA Class200 Sport,2019,"26,300kms",Petrol,Automatic,₹19.90 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz CLA200 D Sport Edition,2016,"53,000kms",Diesel,Automatic,₹16.45 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz GLA4MATIC,2019,"47,000kms",Petrol,Automatic,₹19.90 Lakh,mumbai
Maruti,Maruti Grand VitaraAlpha AT BSVI,2022,"41,000kms",Petrol,Automatic,₹15.25 Lakh,mumbai
Volkswagen,Volkswagen Tiguan2.0 TDI Highline,2018,"47,616kms",Diesel,Automatic,₹18.50 Lakh,mumbai
Kia,Kia SeltosGTX Plus Diesel AT,2022,"71,000kms",Diesel,Automatic,₹15.75 Lakh,mumbai
Toyota,Toyota Innova Crysta2.4 GX MT BSIV,2018,"72,000kms",Diesel,Manual,₹15.68 Lakh,mumbai
Kia,Kia SeltosGTX Plus Diesel AT,2023,"31,000kms",Diesel,Automatic,₹16.91 Lakh,mumbai
Maruti,Maruti XL6Alpha,2020,"30,000kms",Petrol,Manual,₹9 Lakh,mumbai
Kia,Kia SeltosX-Line Diesel AT,2023,"34,000kms",Diesel,Automatic,₹17.95 Lakh,mumbai
Jeep,Jeep Compass1.4 Model S Opt AT,2023,"10,217kms",Petrol,Automatic,₹18.25 Lakh,mumbai
Kia,Kia SeltosGTX Plus Diesel AT,2022,"36,000kms",Diesel,Automatic,₹16.51 Lakh,mumbai
Toyota,Toyota Innova Crysta2.8 GX AT 8S BSIV,2020,"30,793kms",Diesel,Automatic,₹18.50 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz GLA4MATIC,2019,"47,000kms",Petrol,Automatic,₹19.90 Lakh,mumbai
Toyota,Toyota Innova Crysta2.4 GX MT BSIV,2018,"72,000kms",Diesel,Manual,₹15.68 Lakh,mumbai
Maruti,Maruti Ciaz1.4 AT Alpha,2017,"74,000kms",Petrol,Automatic,₹5.99 Lakh,mumbai
Jaguar,Jaguar XJ2.0L Portfolio,2018,"60,000kms",Petrol,Automatic,₹22.15 Lakh,mumbai
Honda,Honda Cityi VTEC CVT VX,2016,"56,000kms",Petrol,Automatic,₹5.45 Lakh,mumbai
Audi,Audi A635 TDI,2017,"50,182kms",Diesel,Automatic,₹15.75 Lakh,mumbai
MG,MG AstorSavvy CVT BSVI,2023,"32,000kms",Petrol,Automatic,₹13.70 Lakh,mumbai
Hyundai,Hyundai i20 N-LineN8 DCT,2024,"6,500kms",Petrol,Automatic,₹11.60 Lakh,mumbai
Kia,Kia SeltosGTX Plus DCT,2020,"38,733kms",Petrol,Automatic,₹12.75 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz C-ClassC 220 CDI Avantgarde,2018,"66,638kms",Diesel,Automatic,₹18.99 Lakh,mumbai
Kia,Kia SeltosHTX IVT G,2021,"57,800kms",Petrol,Automatic,₹10.65 Lakh,mumbai
BMW,BMW X1sDrive 20i Tech Edition,2021,"50,000kms",Petrol,Automatic,₹22.50 Lakh,mumbai
Kia,Kia SonetHTX Turbo iMT BSVI,2021,"53,981kms",Petrol,Manual,₹6.81 Lakh,mumbai
Jeep,Jeep Compass1.4 Limited,2017,"38,000kms",Petrol,Automatic,₹6.75 Lakh,mumbai
Maruti,Maruti BrezzaZxi Plus AT BSVI,2022,"37,000kms",Petrol,Automatic,₹10.50 Lakh,mumbai
Jaguar,Jaguar XEPrestige,2017,"54,280kms",Petrol,Automatic,₹16.90 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz C-ClassC 200 CGI,2015,"52,000kms",Petrol,Automatic,₹11.75 Lakh,mumbai
Kia,Kia SeltosGTX Plus DCT,2020,"43,000kms",Petrol,Automatic,₹11.75 Lakh,mumbai
Toyota,Toyota Innova Crysta2.4 VX 8 STR,2022,"34,699kms",Diesel,Manual,₹24.75 Lakh,mumbai
Tata,Tata SafariXZA AT BSVI,2021,"90,000kms",Diesel,Automatic,₹13.50 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz GLC220d 4MATIC Sport,2016,"49,000kms",Diesel,Automatic,₹24.50 Lakh,mumbai
Volvo,Volvo S60T4 Inscription,2021,"27,000kms",Petrol,Automatic,₹27.90 Lakh,mumbai
Maruti,Maruti Grand VitaraAlpha AT BSVI,2022,"31,000kms",Petrol,Automatic,₹13.90 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz GLA Class200 Sport,2019,"26,300kms",Petrol,Automatic,₹19.90 Lakh,mumbai
MG,MG Hector Plus1.5 Turbo Sharp Pro 7 Str BSVI,2022,"71,003kms",Petrol,Manual,₹12.92 Lakh,mumbai
MG,MG HectorSharp DCT,2019,"42,347kms",Petrol,Automatic,₹11.46 Lakh,mumbai
Honda,Honda CityZX MT,2022,"42,880kms",Petrol,Manual,₹11.36 Lakh,mumbai
Volkswagen,Volkswagen Tiguan2.0 TDI Highline,2018,"47,616kms",Diesel,Automatic,₹18.50 Lakh,mumbai
MG,MG Hector1.5 Turbo Smart,2021,"39,964kms",Petrol,Manual,₹13.65 Lakh,mumbai
MG,MG HectorSharp DCT,2020,"40,065kms",Petrol,Automatic,₹11.18 Lakh,mumbai
MG,MG Hector1.5 Turbo Smart,2021,"53,641kms",Petrol,Manual,₹12.91 Lakh,mumbai
Skoda,Skoda Kushaq1.0 TSI Active BSVI,2022,"15,205kms",Petrol,Manual,₹8.49 Lakh,mumbai
MG,MG HectorSharp DCT,2021,"68,000kms",Petrol,Automatic,₹10.75 Lakh,mumbai
Honda,Honda CityZX CVT,2022,"8,000kms",Petrol,Automatic,₹12.75 Lakh,mumbai
Kia,Kia SeltosHTK Plus iMT,2022,"15,890kms",Petrol,Manual,₹12.95 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz E-ClassE 200,2014,"53,000kms",Petrol,Automatic,₹13.50 Lakh,mumbai
Volkswagen,Volkswagen Taigun1.5 TSI GT Plus DSG,2022,"39,075kms",Petrol,Automatic,₹12.99 Lakh,mumbai
Volkswagen,Volkswagen Taigun1.5 TSI GT Plus BSVI,2022,"39,000kms",Petrol,Manual,₹13.75 Lakh,mumbai
Kia,Kia SeltosHTK Plus D,2020,"53,000kms",Diesel,Manual,₹10.99 Lakh,mumbai
Tata,Tata Nexon1.5 Revotorq XZA Plus,2018,"49,000kms",Diesel,Automatic,₹6.75 Lakh,mumbai
Kia,Kia SeltosGTX Plus Diesel AT,2019,"95,000kms",Diesel,Automatic,₹10.45 Lakh,mumbai
Maruti,Maruti Grand VitaraAlpha BSVI,2022,"27,615kms",Petrol,Manual,₹12.40 Lakh,mumbai
Toyota,Toyota Innova Crysta2.4 VX MT 8S BSIV,2018,"1,14,000kms",Diesel,Manual,₹14.50 Lakh,mumbai
Toyota,Toyota Corolla Altis1.8 VL CVT,2019,"47,000kms",Petrol,Automatic,₹11.25 Lakh,mumbai
Kia,Kia SonetGTX Plus Turbo iMT BSVI,2023,"43,000kms",Petrol,Manual,₹11.75 Lakh,mumbai
Honda,Honda CityZX CVT,2022,"8,000kms",Petrol,Automatic,₹12.75 Lakh,mumbai
Kia,Kia SeltosHTK Plus iMT,2022,"15,890kms",Petrol,Manual,₹12.95 Lakh,mumbai
BMW,BMW 7 SeriesSignature 730Ld,2017,"61,800kms",Diesel,Automatic,₹33.50 Lakh,mumbai
MG,MG HectorSharp DCT,2021,"68,000kms",Petrol,Automatic,₹10.75 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz C-ClassC 220 CDI BE Avantgare,2014,"35,000kms",Diesel,Automatic,₹10.51 Lakh,mumbai
Hyundai,Hyundai CretaS Plus Knight,2023,"43,241kms",Petrol,Manual,₹13.20 Lakh,mumbai
Toyota,Toyota Urban cruiserPremium AT,2021,"40,926kms",Petrol,Automatic,₹8.49 Lakh,mumbai
Skoda,Skoda Kushaq1.0 TSI Style AT,2022,"38,428kms",Petrol,Automatic,₹12.75 Lakh,mumbai
Volkswagen,Volkswagen Taigun1.0 TSI Highline AT BSVI,2022,"37,000kms",Petrol,Automatic,₹10.25 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz E-ClassE 200 CGI,2014,"62,000kms",Petrol,Automatic,₹10.75 Lakh,mumbai
Maruti,Maruti XL6Alpha AT,2022,"38,802kms",Petrol,Automatic,₹11.49 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz E-ClassE250 CDI,2014,"64,250kms",Diesel,Automatic,₹13.50 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz E-ClassE 200 CGI Elegance,2013,"66,000kms",Petrol,Automatic,₹10.50 Lakh,mumbai
Honda,Honda CityZX CVT,2022,"29,000kms",Petrol,Automatic,₹10.95 Lakh,mumbai
Hyundai,Hyundai VenueSX Plus Turbo DCT BSIV,2019,"46,000kms",Petrol,Automatic,₹7.99 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz E-ClassE250 CDI Avantgrade,2015,"52,000kms",Diesel,Automatic,₹12.75 Lakh,mumbai
MG,MG Hector PlusSharp DCT,2020,"48,000kms",Petrol,Automatic,₹12.65 Lakh,mumbai
Honda,Honda CityZX MT,2022,"42,880kms",Petrol,Manual,₹11.36 Lakh,mumbai
MG,MG HectorHybrid Smart MT BSIV,2019,"50,000kms",Petrol,Manual,₹7.70 Lakh,mumbai
MG,MG Hector1.5 Turbo Smart,2021,"53,641kms",Petrol,Manual,₹12.91 Lakh,mumbai
Maruti,Maruti Grand VitaraAlpha AT BSVI,2022,"31,000kms",Petrol,Automatic,₹13.90 Lakh,mumbai
Honda,Honda CityZX CVT,2023,"21,272kms",Petrol,Automatic,₹12.40 Lakh,mumbai
Jeep,Jeep MeridianLimited Opt AT BSVI,2022,"66,000kms",Diesel,Automatic,₹19.85 Lakh,mumbai
Volkswagen,Volkswagen Taigun1.5 TSI GT Plus BSVI,2022,"39,000kms",Petrol,Manual,₹13.75 Lakh,mumbai
Hyundai,Hyundai CretaSX Opt IVT BSVI,2022,"33,000kms",Petrol,Automatic,₹13.75 Lakh,mumbai
Skoda,Skoda Kushaq1.0 TSI Style AT,2022,"38,428kms",Petrol,Automatic,₹12.75 Lakh,mumbai
Hyundai,Hyundai Creta1.6 VTVT SX Plus,2016,"65,000kms",Petrol,Manual,₹7.35 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz E-ClassE 200 CGI,2015,"62,304kms",Petrol,Automatic,₹13.90 Lakh,mumbai
Skoda,Skoda Kushaq1.5 TSI Style DSG,2021,"31,000kms",Petrol,Automatic,₹12.45 Lakh,mumbai
Honda,Honda CityZX CVT 2 Airbag,2023,"24,000kms",Petrol,Automatic,₹12.90 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz GLS350d 4MATIC,2017,"74,000kms",Diesel,Automatic,₹47.50 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz E-ClassE 200 CGI,2015,"92,000kms",Petrol,Automatic,₹12.75 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz C-ClassC 200 CGI,2015,"45,000kms",Petrol,Automatic,₹14.80 Lakh,mumbai
Hyundai,Hyundai Creta1.6 CRDi SX,2020,"15,078kms",Diesel,Manual,₹15 Lakh,mumbai
Tata,Tata SafariAccomplished Plus AT,2024,"9,157kms",Diesel,Automatic,₹25.50 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz C-ClassPrime C 200,2019,"14,457kms",Petrol,Automatic,₹26.90 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz S-ClassS 350 CDIL,2014,"1,45,000kms",Diesel,Automatic,₹21 Lakh,mumbai
Kia,Kia CarnivalLimousine,2020,"36,641kms",Diesel,Automatic,₹26.75 Lakh,mumbai
Maruti,Maruti CiazAlpha BSIV,2019,"70,000kms",Petrol,Manual,₹5.99 Lakh,mumbai
