,car_brand,car_name,year,km_driven,fuel,transmission,price,city
1018,Maruti,Maruti Vitara BrezzaVXI,2021,"61,933kms",Petrol,Manual,₹7.90 Lakh,Hyderabad
1019,Hyundai,Hyundai CretaS (O) Diesel AT,2024,"34,000kms",Diesel,Automatic,₹21.50 Lakh,Hyderabad
1020,Maruti,Maruti ErtigaZXI AT,2022,"9,000kms",Petrol,Automatic,₹11.40 Lakh,Hyderabad
1021,Volvo,Volvo XC60Inscription D5,2020,"78,000kms",Diesel,Automatic,₹38.99 Lakh,Hyderabad
1022,Volvo,Volvo XC60B5 Inscripition,2022,"68,000kms",Petrol,Automatic,₹64.99 Lakh,Hyderabad
1023,Volvo,Volvo XC90D5 R-Design,2017,"1,26,000kms",Diesel,Automatic,₹37.50 Lakh,Hyderabad
1024,Hyundai,Hyundai CretaS (O) Diesel AT,2024,"34,000kms",Diesel,Automatic,₹21.50 Lakh,Hyderabad
1025,Maruti,Maruti ErtigaZXI AT,2022,"9,000kms",Petrol,Automatic,₹11.40 Lakh,Hyderabad
1026,Volvo,Volvo XC60B5 Inscripition,2022,"68,000kms",Petrol,Automatic,₹64.99 Lakh,Hyderabad
1027,Toyota,Toyota Fortuner4X2 Diesel BSVI,2021,"84,366kms",Diesel,Manual,₹32.50 Lakh,Hyderabad
1028,Volvo,Volvo XC60Inscription D5,2020,"78,000kms",Diesel,Automatic,₹38.99 Lakh,Hyderabad
1029,Volvo,Volvo XC90D5 Inscription BSIV,2017,"11,00,009kms",Diesel,Automatic,₹39.99 Lakh,Hyderabad
1030,Toyota,Toyota Fortuner2.8 4WD MT,2020,"1,30,000kms",Diesel,Manual,₹32.50 Lakh,Hyderabad
1031,Volvo,Volvo XC90D5 R-Design,2017,"1,26,000kms",Diesel,Automatic,₹37.50 Lakh,Hyderabad
1032,Hyundai,Hyundai AlcazarSignature Diesel AT,2022,"88,150kms",Diesel,Automatic,₹14.90 Lakh,Hyderabad
1033,MG,MG Hector PlusSharp Pro 7 Str Diesel  -2025,2023,"25,949kms",Diesel,Manual,₹19 Lakh,Hyderabad
1034,Jaguar,Jaguar XFS 2.2,2013,"72,000kms",Diesel,Automatic,₹15.99 Lakh,Hyderabad
1035,Toyota,Toyota Innova Crysta2.4 G MT 8S BSIV,2018,"1,69,660kms",Diesel,Manual,₹17.50 Lakh,Hyderabad
1036,Toyota,Toyota Innova Crysta2.4 G MT BSIV,2018,"67,569kms",Diesel,Manual,₹19 Lakh,Hyderabad
1037,Jaguar,Jaguar XF2.2 Litre Luxury,2015,"75,810kms",Diesel,Automatic,₹16.25 Lakh,Hyderabad
1038,Toyota,Toyota Innova Crysta2.4 VX MT BSIV,2019,"1,37,600kms",Diesel,Manual,₹17.80 Lakh,Hyderabad
1039,Mini Cooper,2014Mini Cooper Countryman  -2015D,2013,"77,030kms",Diesel,Automatic,₹16.50 Lakh,Hyderabad
1040,Volkswagen,Volkswagen Tiguan2.0 TDI Highline,2017,"73,000kms",Diesel,Automatic,₹17.99 Lakh,Hyderabad
1041,Mahindra,Mahindra ScorpioS,2024,"24,000kms",Diesel,Manual,₹15.25 Lakh,Hyderabad
1042,Toyota,Toyota Innova Crysta2.4 G MT BSIV,2017,"1,86,000kms",Diesel,Manual,₹15.95 Lakh,Hyderabad
1043,Mahindra,Mahindra XUV500W11 Option AWD,2019,"1,32,000kms",Diesel,Manual,₹11.50 Lakh,Hyderabad
1044,Mini Cooper,2014Mini Cooper Countryman  -2015D,2013,"77,030kms",Diesel,Automatic,₹16.50 Lakh,Hyderabad
