car_brand,car_name,year,km_driven,fuel,transmission,price,city
Mercedes-Benz,Mercedes-Benz AMG C 63Coupe,2021,"23,000kms",Petrol,Automatic,₹36 Lakh,jaipur
Maruti,Maruti SwiftZXI AMT,2022,"30,585kms",Petrol,Automatic,₹6.88 Lakh,jaipur
Skoda,Skoda Slavia1.0 TSI Style BSVI,2022,"51,064kms",Petrol,Manual,₹8.55 Lakh,jaipur
Skoda,Skoda Slavia1.0 TSI Active BSVI,2022,"75,166kms",Petrol,Manual,₹7.25 Lakh,jaipur
Toyota,Toyota Land Cruiser PradoVX L,2014,"1,60,000kms",Diesel,Automatic,₹62 Lakh,jaipur
Honda,Honda Cityi-VTEC VX,2019,"42,966kms",Petrol,Manual,₹6.15 Lakh,jaipur
Hyundai,Hyundai VernaCRDi 1.6 EX,2017,"81,000kms",Diesel,Manual,₹7 Lakh,jaipur
Hyundai,Hyundai i20Magna BSVI,2021,"66,000kms",Petrol,Manual,₹6.25 Lakh,jaipur
Mercedes-Benz,Mercedes-Benz EQS580 4Matic,2024,"9,000kms",Electric,Automatic,₹1 Crore,jaipur
Maruti,Maruti Vitara BrezzaZXI,2021,"79,000kms",Petrol,Manual,₹7.85 Lakh,jaipur
Hyundai,Hyundai Verna1.6 CRDi SX,2016,"84,000kms",Diesel,Manual,₹6.25 Lakh,jaipur
Kia,Kia SeltosHTK Plus G,2020,"1,00,000kms",Petrol,Manual,₹9.25 Lakh,jaipur
Mercedes-Benz,Mercedes-Benz GLA220d 4MATIC,2025,"1,500kms",Diesel,Automatic,₹53 Lakh,jaipur
Mahindra,Mahindra XUV500W6 1.99 mHawk,2018,"85,000kms",Diesel,Manual,₹6.45 Lakh,jaipur
Tata,Tata NexonXZ Plus (O) Diesel,2022,"82,000kms",Diesel,Manual,₹8.50 Lakh,jaipur
Maruti,Maruti Swift DzireAMT ZDI Plus,2017,"69,800kms",Diesel,Automatic,₹6.25 Lakh,jaipur
BMW,BMW X1sDrive20d xLine,2021,"54,000kms",Diesel,Automatic,₹31 Lakh,jaipur
MG,2024MG HectorSharp Pro CVT  -2025,2023,"24,425kms",Petrol,Automatic,₹15.90 Lakh,jaipur
Honda,Honda Cityi-DTEC SV,2019,"46,741kms",Diesel,Manual,₹5.57 Lakh,jaipur
Ford,Ford Ecosport1.5 Diesel Titanium BSIV,2018,"1,42,097kms",Diesel,Manual,₹5.15 Lakh,jaipur
Tata,Tata AltrozXZ LUX CNG,2024,"27,000kms",CNG,Manual,₹7.50 Lakh,jaipur
Mercedes-Benz,Mercedes-Benz C-ClassProgressive C 200,2020,"48,000kms",Petrol,Automatic,₹31 Lakh,jaipur
Audi,Audi Q745 TDI Quattro Premium Plus,2017,"73,000kms",Diesel,Automatic,₹35 Lakh,jaipur
Jeep,Jeep MeridianLimited Opt AT BSVI,2022,"61,000kms",Diesel,Automatic,₹23.50 Lakh,jaipur
Mercedes-Benz,Mercedes-Benz GLC300,2025,"16,000kms",Petrol,Automatic,₹69 Lakh,jaipur
Honda,Honda City1.5 V MT Exclusive,2020,"56,997kms",Petrol,Manual,₹7.90 Lakh,jaipur
Mahindra,Mahindra MarazzoM8,2018,"94,000kms",Diesel,Manual,₹6.45 Lakh,jaipur
Honda,Honda Cityi VTEC VX,2017,"46,585kms",Petrol,Manual,₹5.40 Lakh,jaipur
Audi,Audi Q540 TDI Technology,2019,"78,000kms",Diesel,Automatic,₹26 Lakh,jaipur
Audi,Audi Q2Premium Plus II,2022,"30,000kms",Petrol,Automatic,₹27 Lakh,jaipur
Honda,Honda Cityi-VTEC V,2019,"34,159kms",Petrol,Manual,₹5.55 Lakh,jaipur
Hyundai,Hyundai i20Sportz Turbo iMT,2020,"66,458kms",Petrol,Manual,₹5.15 Lakh,jaipur
Maruti,Maruti CiazZDi Plus SHVS,2016,"70,000kms",Diesel,Manual,₹5.25 Lakh,jaipur
Maruti,Maruti CelerioZXI Plus,2021,"52,331kms",Petrol,Manual,₹3.75 Lakh,jaipur
Honda,Honda AmazeV,2019,"60,310kms",Petrol,Manual,₹5.04 Lakh,jaipur
Maruti,Maruti CelerioZXI Optional AMT BSIV,2017,"91,381kms",Petrol,Automatic,₹3.15 Lakh,jaipur
Land Rover,Land Rover Range Rover SportSE,2019,"96,871kms",Diesel,Automatic,₹59 Lakh,jaipur
Maruti,Maruti SwiftLXi,2013,"84,161kms",Petrol,Manual,₹3.23 Lakh,jaipur
Hyundai,Hyundai Xcent1.2 VTVT E Plus,2017,"1,01,762kms",Petrol,Manual,₹3.30 Lakh,jaipur
Hyundai,Hyundai AuraSX,2022,"45,032kms",Petrol,Manual,₹5.55 Lakh,jaipur
Mahindra,Mahindra XUV400 EVEL Fast Charger DT,2023,"52,675kms",Electric,Automatic,₹13.50 Lakh,jaipur
Maruti,Maruti Baleno1.2 CVT Zeta,2017,"96,493kms",Petrol,Automatic,₹3.95 Lakh,jaipur
Honda,Honda AmazeV CVT Diesel BSIV,2018,"66,454kms",Diesel,Automatic,₹5.30 Lakh,jaipur
Tata,Tata Nexon1.2 Revotron XM,2018,"96,091kms",Petrol,Manual,₹4 Lakh,jaipur
Land Rover,Land Rover Range Rover Evoque2.0 TD4 SE,2018,"78,000kms",Diesel,Automatic,₹27 Lakh,jaipur
Honda,Honda AmazeV CVT Diesel BSIV,2018,"66,454kms",Diesel,Automatic,₹5.30 Lakh,jaipur
